,Name,Country,Address,Sector,Owner_operator,Solar thermal engineering company,Integrator company,Year,Collector technology,Collector name,Gross area,Total aperture area,Thermal power,heat transfer fluid,Energy storage,Storage volume,Conventional heat source,Fuel used,Use,Unit operation,Point of integration,Temperature range process,Temperature range solar loop (min/max),Total investment costs,Subsidy,System life time,Specific investment costs,Solar fraction,Contact,E-mail,Homepage,Sector grouped
126,Hoval Marchtrenk,Austria,Marchtrenk,C28 - Manufacture of machinery and equipment n.e.c.,Hoval,nan,nan,2009-01-01,flat plate collector,,202.0,,141.4,water/glycol,short-term water storage,6.0,,,solar hot water for powder coating,surface treatment,C) Other integration points (please specify),,,1.0,no subsidies,0,0.0,,,IEA - Task 49,oec@esv.or.at,C28 - Manufacture of machinery and equipment n.e.c.
127,HP Dairy State,India,"Himachal pradesh state cooperative milk plant, Rampur Bushahr, Himachal Pradesh, Indien",C10.5 - Manufacture of dairy products,,kotakurja pvt ltd,nan,2013-01-01,flat plate collector,,120.0,,84.0,,Short-term water storage,6.0,Steam boiler,Other,"steam is used for pasteurization, cream separation, hot water jackets for ghee production, butter making, in curd preparation, paneer preparation and evaporation in powder plant",Pasteurization,A1) Heating of make-up water,,,10900.0,47.5,,90.83,,AEE INTEC,w.glatzl@aee.at,http://www.soproindia.in/dairy-proj01.html,C10 - Manufacture of food products
128,Hustert Galvanic,Germany,Rahden,C24 - Manufacture of basic metals,Hustert Galvanik GmbH,ritter xl solar,haustechnik schapka gmbh,2011-01-01,evacuated tube collector,CPC evacuated tube Ritter XL Solar,221.0,201.0,154.7,water,no solar energy storage,0.0,other,fuel oil,heating thermal baths for electro plating,surface treatment,A2b) Heating of supply line,80,90,127400.0,30% regional subsidy (NRW),,576.47,,,Martin Willige,m.willige@ritter-xl-solar.com,C24 - Manufacture of basic metals
129,Hütt Brewery,Germany,Kassel,C11 - Manufacture of beverages,Hütt Brewery,thüsolar,university kassel,2010-01-01,flat plate collector,,155.0,,108.5,,,10.0,steam boiler,,heating the brewing water,other process heating,B2) Heating of process medium (please specify),40..90,up to 95,96000.0,48000,0,619.35,,,IEA - Task 49,info@thuesolar.de,C11 - Manufacture of beverages
130,IER UNAM,México,"Xochicalco, Azteca, 62588 Temixco, Mor.","M - Professional, scientific and technical activities",UNAM,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 CPC,75.0,69.0,52.5,Water/Glycol,No Solar Energy Storage,,Hot water boiler,Natural gas,preheat of steam production,General process heating,A1) Heating of make-up water,70-95,60-100,24800.0,No Subsidies,25,330.67,70,,,,"M - Professional, scientific and technical activities"
131,Imatec Tortilla Dough Factory,México,"Bosques de Acacias esq Bosque de Antequera Col Jardines de Morelos. Ecatepec, Mex","C10.6 - Manufacture of grain mill products, starches and starch products",IMATEC,modulo solar,modulo solar,2014-01-01,flat plate collector,MS 2.5 BLUE,125.0,113.0,87.5,Water,Short-term water storage,5.0,Hot water boiler,Other,preheat of hot water,cooking,B1) Heating of process(es) / process vessel(s),65-85,55-90,29250.0,No Subsidies,,234.0,70,,,,C10 - Manufacture of food products
132,India Tobacco Division,India,Bangalore,C12 - Manufacture of tobacco products,India Tobacco Division,"thermax limited, pune","thermax limited, pune",2012-01-01,various collector,SolPac NI30,900.0,680.0,220.0,,,,,Other,conditioning of tobacco,General process heating,A1) Heating of make-up water,,95,114061.44,"48883,47",,126.73,,CSH India,contact@cshindia.in,http://www.cshindia.in/installedprojects.html,C12 - Manufacture of tobacco products
133,Indian Institute of Horticulture,India,Bangalore,C10.4 - Manufacture of vegetable and animal oils and fats,Indian Institute of Horticulture,unisun technologies,unisun technologies,2011-01-01,various collector,Scheffler Dishes,42.0,42.0,29.4,,,,,,for pasteurizing of straw,Pasteurization,C) Other integration points,,85 - 100°C,3219.48,"1379,78",,76.65,,CSH India,contact@cshindia.in,http://www.cshindia.in/installedprojects.html,C10 - Manufacture of food products
134,Industria Alimnetaria Alcoyana,Spain,Sevilla,C10 - Manufacture of food products,Industria Alimnetaria Alcoyana,disol sa,disol sa,2002-01-01,flat plate collector,,151.0,,105.7,,,12.0,,,prehating of boiler feed water used for olive preparation,General process heating,A1) Heating of make-up water,40 - 130,50 - 60,67497.0,No information available,0,447.0,,IEA Task 49,w.glatzl@aee.at,,C10 - Manufacture of food products
135,Industria del maíz,México,"Santa Úrsula Coapa, 04650, Ciudad de México, CdMX",C10 - Manufacture of food products,Industria del Maíz,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 BLUE,72.0,65.0,50.4,Water,Short-term water storage,3.5,Hot water boiler,Natural gas,preheat of water for cooking,Cooking,B1) Heating of process(es) / process vessel(s),65-80,65-85,21200.0,No Subsidies,25,294.44,65,,,,C10 - Manufacture of food products
136,Industria maíz,México,"Calzada de Talapan #3039, Santa Úrsula Coapa, Coyoacán, 04650, México, D.F.",C10 - Manufacture of food products,Industria del Maíz,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 BLUE,72.0,65.0,50.4,Water,Short-term water storage,3.5,Hot water boiler,Natural gas,preheat of water for cooking,Cooking,B1) Heating of process(es) / process vessel(s),65-80,65-85,21200.0,No Subsidies,25,294.44,65,,,,C10 - Manufacture of food products
137,Industrias Cricotl,México,"AVENIDA GUELATAO 224, SANTA MARIA AZTAHUACAN, 09570 CIUDAD DE MEXICO",C10.7 - Manufacture of bakery and farinaceous products,INDUSTRIAS CRICOTL,modulo solar,modulo solar,2010-01-01,flat plate collector,HIPER TINOX,72.0,65.0,50.0,Water,Short-term water storage,3.0,Hot water boiler,Other,preheat of hot water,cooking,B1) Heating of process(es) / process vessel(s),55-85,50-90,19000.0,No Subsidies,25,263.89,72,,,,C10 - Manufacture of food products
138,Industrias Moso,México,"CALLE 23 ESTE 3 COL. CIVAC, JIUTEPEC, MORELOS CP 62578",C - Manufacturing,Industrias Moso,modulo solar,modulo solar,2016-01-01,flat plate collector,MS 2.5 BLUE,110.0,99.0,77.0,water,Short-term water storage,5.0,Hot water boiler,Other,preheat of galvanoplasty process,surface treatment,B1) Heating of process(es) / process vessel(s),60-80,50-85,21780.0,0,25,198.0,80,,,,C - Manufacturing
139,Industrias Verona Galvanoplasty,México,"Maíz 157, Granjas Esmeralda, 09810 Ciudad de México, CDMX","C25 - Manufacture of fabricated metal products, except machinery and equipment",Industrias Verona,modulo solar,modulo solar,2004-01-01,flat plate collector,HIPER TINOX,64.0,57.0,44.0,Water,Short-term water storage,3.5,Hot water boiler,Fuel oil,galvanoplasty process,surface treatment,B1) Heating of process(es) / process vessel(s),70-85,60-90,14000.0,No Subsidies,,218.75,70,,,,"C25 - Manufacture of fabricated metal products, except machinery and equipment"
140,Instituto del Corcho,Spain,Merida,"C16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","Instituto del Corcho, la Madera y el Carbón Vegetal (ICMC)",instalaciones técnicas extremeñas sl / solar collector manufacturer: tsc sl,instalaciones técnicas extremeñas sl,2013-01-01,various collector,,44.0,37.4,30.8,Water/glycol,Short-term water storage,0.75,Other,Biomass,cork cooking,Other process heating,C) Other integration points,There is an intermediate storage at 110ºC.,The primary circuit works at 120ºC.,1.0,No subsidies,20,0.02,,CIEMAT-Plataforma Solar de Almería / Tecnología Solar Concentradora S.L.,loreto.valenzuela@psa.es,http://www.iprocor.org/oferta-idi/proyectos-activos/riteca-ii-red-de-investigacion-transfronteriza-de-extremadura-region-centro-y-alentejo-fase-ii/,"C16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
141,Inter Rubber Latex Co. Ltd.,Thailand,Surat Thani,C22 - Manufacture of rubber and plastic products,Inter Rubber Latex Co. Ltd.,grammer solar gmbh,nan,2007-01-01,air collector,,80.0,,56.0,Air,No solar energy storage,1.0,,,drying of natural rubber,Drying,B2) Heating of process medium,,,36000.0,No subsidies,25,450.0,,Grammer Solar,r.ettl@grammer-solar.de,http://www.grammer-solar.com,C22 - Manufacture of rubber and plastic products
142,ITC Laundry New Delhi - Arun Dish,India,New Delhi,I - Accommodation and food service activities,ITC Hotel New Delhi,clique solar,clique solar,2010-01-01,various collector,Arun Dish,338.0,338.0,236.6,,,,,,for laundry and hot water for bathing,Other process heating,C) Other integration points,,175°C,99869.46,"31537,73",,295.47,,CSH India,contact@cshindia.in,http://www.cshindia.in/installedprojects.html,I - Accommodation and food service activities
143,ITC Laundry New Delhi - Scheffler Dish,India,New Delhi,I - Accommodation and food service activities,ITC Hotel New Delhi - Scheffler Dish,thermax limited,thermax limited,2010-01-01,various collector,Scheffler Dishes,128.0,128.0,89.6,,,,,,laundry applications and hot water for bathing,Other process heating,C) Other integration points,,100-120°C,39361.09,"6560,18",,307.51,,CSH India,contact@cshindia.in,http://www.cshindia.in/installedprojects.html,I - Accommodation and food service activities
144,ITEC Culiacan,México,"Juan de Dios Batiz SN, Instituto Tecnológico de Culiácan, Guadalupe; 80220","M - Professional, scientific and technical activities",Instituto Tecnológico de Culiacán,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 CPC,60.0,55.0,42.0,,No Solar Energy Storage,,Steam boiler,Fuel oil,preheat of steam production,General process heating,B1) Heating of process(es) / process vessel(s),75-110,75-110,21500.0,No Subsidies,25,358.33,60,,,,"M - Professional, scientific and technical activities"
145,Izra'el's Kitchen,Israel,Izra'el Kibbutz,I - Accommodation and food service activities,TIGI Solar,tigi solar,tigi solar,2016-01-01,flat plate collector,TIGI HC1,120.0,108.6,123.0,water,short-term water storage,5.0,hot water boiler,natural gas,industrial washing machine process,cleaning,A2b) Heating of supply line,85,60 - 95,44600.0,0,20,371.67,84,,,,I - Accommodation and food service activities
146,Jebel Ali - Chocolate Factory,United Arab Emirates,"Jebel Ali, Dubai",C10 - Manufacture of food products,,tisun,nan,2013-01-01,flat plate collector,,510.0,,357.0,,Short-term water storage,5.0,,,hot water demand,Other process heating,B1) Heating of process(es) / process vessel(s),,,1.0,No information,,0.0,80,AEE INTEC,w.glatzl@aee.at,aee-intec.at,C10 - Manufacture of food products
147,Jiangsu Printing And Dyeing,China,"Wang Jiang Da Dao, Chang Shu Shi, Suzhou, Jiangsu, China",C13 - Manufacture of textiles,Jiangsu Yitong Printing And Dyeing Limited Company,sunrain co ltd,sunrain co ltd,2011-01-01,evacuated tube collector,,9000.0,7460.0,6300.0,,,,,,solar preheating for the printing and dyeing process,other process heating,C) Other integration points (please specify),50 °C,,0.01,no information available,,0.0,,,He Tao,tao_he@sina.cn,C13 - Manufacture of textiles
148,JTI (Jordan),Jordan,"Al Qastal, Amman, Jordanien",C12 - Manufacture of tobacco products,JTI (Jordan) Manufacturing Ltd.,industrial solar gmgh,industrial solar gmgh,2017-01-01,fresnel collector,LF-11,1880.0,1254.0,705.0,steam,steam accumulation tank,15.0,steam boiler,natural gas,cooling and process heat,other process heating,A2b) Heating of supply line,190°C,225°C,1.0,,,0.0,,Industrial Solar GmbH,info@industrial-solar.de,http://www.industrial-solar.de,C12 - Manufacture of tobacco products
149,Julius Blum,Austria,"Gaißau, Vorarlberg","C25 - Manufacture of fabricated metal products, except machinery and equipment",Julius Blum GmbH,paradigma austria,nan,2011-01-01,evacuated tube collector,,460.0,,322.0,water,short-term water storage,8.0,,,heating of the pretreatment washbasins of the coating device,surface treatment,A3) Heating of supply heat storage,85 to 60 °C flow / 55 to 35 °C return flow,,1.0,no subsidies,0,0.0,8,,Detlev Seidler,d.seidler@ritter-xl-solar.com,"C25 - Manufacture of fabricated metal products, except machinery and equipment"
150,K house bed and breakfast,Israel,"Nahariya, Israel",S - Other services activities,TIGI Solar,tigi solar,tigi solar,2016-01-01,flat plate collector,TIGI HC1,100.3,86.9,98.4,water,short-term water storage,12.0,hot water boiler,other,water heating for bed and breakfast customers showers,cleaning,A2b) Heating of supply line,60-65,50-90,100000.0,0,20,997.01,61,,,,S - Other services activities
151,Kangaroo India Limited,India,Ludhiana,C24 - Manufacture of basic metals,Kangaroo India Limited,intersolar india,nan,2006-01-01,flat plate collector,,506.0,,354.2,,Short-term water storage,65.0,Steam boiler,Fuel oil,nickel bath,Surface treatment,C) Other integration points,,,1.0,not known,0,0.0,,AEE INTEC,w.glatzl@aee.at,http://www.solarwaterheater.gov.in/phpdsurl5/speakers/userfiles/file/Solar%20water%20heater%20applications.pdf,C24 - Manufacture of basic metals
152,Kastrinogiannis S.A.,Greece,"Iraklion, Crete",C13 - Manufacture of textiles,Kastrinogiannis S.A.,foco sa,boyas bros,1993-01-01,flat plate collector,,174.0,,121.8,water,,10.0,,,"hot water directly for dying machines, and hot water to feed the boiler",bleaching,C) Other integration points (please specify),40 - 90,27 - 63,23142.0,no subsidies,0,133.0,,,Miriam Martinez,miriam@sole.gr,C13 - Manufacture of textiles
153,Kaveri Agri-Care Pvt. Ltd.,India,Hassan District,C10 - Manufacture of food products,Kaveri Agri-Care Pvt. Ltd.,solarwall®,solarwall®,2001-01-01,air collector,,414.0,,289.8,,,1.0,,,"drying ""coir peat"" (an extractation from underneath the cocnut skin)",Drying,B1) Heating of process(es) / process vessel(s),105,,1.0,no subsidies,0,0.0,,Solarwall,jhollick@solarwall.com,,C10 - Manufacture of food products
154,KEAN Soft Drinks,Cyprus,"KEAN Soft Drinks, Limassol, Cyprus",C11 - Manufacture of beverages,KEAN Soft Drinks Ltd.,protarget ag,protargetag,2018-01-01,parabolic trough collector,CF100,288.0,288.0,201.6,thermo-oil,other,,steam boiler,,steam supply of a fruit juice manufactory,pasteurization,A2b) Heating of supply line,,,150000.0,0.5,,520.83,,,Martin Scheuerer,info@protarget-ag.com,C11 - Manufacture of beverages
155,Keyawa Orchards,United States,California,C10 - Manufacture of food products,Keyawa Orchards,solarwall®,solarwall®,2003-01-01,air collector,,864.0,,604.8,,,1.0,,,walnuts drying,Drying,B1) Heating of process(es) / process vessel(s),43 max,,1.0,No subsidies,0,0.0,,Solarwall,jhollick@solarwall.com,,C10 - Manufacture of food products
156,Kibbutz Urim,Israel,Kibbutz Urim,S - Other services activities,Kibbutz Urim,tigi,tigi,2014-01-01,flat plate collector,TIGI HC.1 - with transparent insulation (Solar Keymark 011-7S2040 F),40.6,37.6,30.5,water,short-term water storage,5.0,other,natural gas,laundry,cleaning,B1) Heating of process(es) / process vessel(s),80 C,60/100,20000.0,no subsidies,20,492.61,0.7,,,,S - Other services activities
157,Klein Karoo International Tannery,South Africa,"Dassie Road, Oudtshoorn 6625",C15- Manufacture of leather and related products,Klein Karoo Intenrational Pty Ltd Tannery,think solar pty ltd t/a e3 energy,think solar pty ltd t/a e3 energy,2018-01-01,flat plate collector,GREENoneTEC,556.8,,390.0,,Short-term water storage,40.0,steam boiler,,retanning process,retanning,C) Other integration points,,,1.0,No information,,,,,,,C15- Manufacture of leather and related products
158,Knorr Best Foods S.A.,Portugal,"Quinta do Mendanha, Carregado",C10 - Manufacture of food products,Knorr Best Foods S.A.,pretec sa,pretec sa,1987-01-01,flat plate collector,,440.0,,308.0,,,10.0,,,hot water for tools washing,cleaning,C) Other integration points (please specify),40 - 45,,1.0,no subsidies,0,0.0,,,,,C10 - Manufacture of food products
159,KOF Mixcoac,México,"01600, 5 de Mayo 400, Meced Gómez, Ciudad de México, CdMX",C11 - Manufacture of beverages,KOF,modulo solar,modulo solar,2018-01-01,flat plate collector,Hiper Tinox,125.0,112.0,87.5,,Short-term water storage,10.0,Steam boiler,Natural gas,heating of make up water,General process heating,A1) Heating of make-up water,50-70,50-85,47000.0,No Subsidies,25,376.0,60,,,,C11 - Manufacture of beverages
160,KOF Tlanepantla,México,"Cale Abraham Lincoln #1, Puente de Vigas, 54070 Tlanepantla, Mex",C11 - Manufacture of beverages,KOF,modulo solar,modulo solar,2018-01-01,flat plate collector,Hiper Tinox,45.0,40.0,31.5,Water,Short-term water storage,2.5,Steam boiler,Natural gas,heating of make up water,General process heating,A1) Heating of make-up water,50-70,50-85,16700.0,No Subsidies,25,371.11,60,,,,C11 - Manufacture of beverages
161,Körner KvK,Austria,Wies,C24 - Manufacture of basic metals,Körner KvK,solid gmbh,solid gmbh,2007-01-01,flat plate collector,,86.0,,60.2,,,10.0,,,"preheating, drying",general process heating,C) Other integration points (please specify),"80 for Preheating, 50 for Drying",50 - 80,35002.0,no subsidies,0,407.0,,,Sabine Putz,s.putz@solid.at,C24 - Manufacture of basic metals
162,Koukaki Farm S.A.,Greece,"Thessaloniki, Kilkis",C10.5 - Manufacture of dairy products,Koukaki Farm S.A.,absolicion,nan,,parabolic trough collector,,10.0,,7.0,,,,,,hot water for dairy processes,general process heating,,,,,no subsidies,0,,,,Joakim Byström,joakim@absolicon.com,C10 - Manufacture of food products
163,Kral - Pump Factory,Austria,"Bildgasse 40, 6890 Lustenau",C28 - Manufacture of machinery and equipment n.e.c.,Kral AG,ritter xl solar,nan,2012-01-01,evacuated tube collector,,550.0,,385.0,water,short-term water storage,15.0,steam boiler,fuel oil,"hot water, space heating and cooling",other process heating,B1) Heating of process(es) / process vessel(s),,,0.01,40% KLIEN,,0.0,0.82,,Samuel Knabl,s.knabl@aee.at,C28 - Manufacture of machinery and equipment n.e.c.
164,Kreher's Poultry Farms,United States,New York,C10 - Manufacture of food products,Kreher's Poultry Farms,solarwall®,solarwall®,2002-01-01,air collector,,50.4,,35.28,Air,,1.0,,,drying of chicken eggs,Drying,B1) Heating of process(es) / process vessel(s),,,1.0,No subsidies,0,0.02,,Solarwall,jhollick@solarwall.com,,C10 - Manufacture of food products
165,Krimmer,Germany,Pulling,"A - Agriculture, forestry and fishing",Krimmer,nan,nan,2003-01-01,flat plate collector,,150.0,,105.0,,,42.0,,,drying of wild flower seeds,drying,C) Other integration points (please specify),35,20 - 35,0.01,no subsidies,0,0.01,,,IEA - Task 49,oec@esv.or.at,"A - Agriculture, forestry and fishing"
166,Krispl Fruit Juice,Austria,"Großeckstr 244, 8311 Markt Hartmannsdorf",C10.3 - Processing and preserving of fruit and vegetables,Kögerlhof Krispel Christof,nan,nan,,flat plate collector,,112.0,,78.4,,short-term water storage,20.0,hot water boiler,biomass,"fruit pasteur, crates washing, space climate",pasteurization,B1) Heating of process(es) / process vessel(s),80 °C,,0.01,,,0.0,15,,Wolfgang Glatzl,w.glatzl@aee.at,C10 - Manufacture of food products
167,Kwality Walls Ice Cream,India,Delhi,C10.8 - Manufacture of other food products,Kwality Walls ice cream,nan,nan,2000-01-01,flat plate collector,,120.0,,84.0,,Short-term water storage,11.0,,,cleaning and making sugar solution,Extraction,C) Other integration points,,,1.0,not known,0,0.01,,AEE INTEC,w.glatzl@aee.at,http://www.solarwaterheater.gov.in/phpdsurl5/speakers/userfiles/file/Solar%20water%20heater%20applications.pdf,C10 - Manufacture of food products
168,La Parrena copper mine,México,"La Parrena, Mexico",B - Mining and quarrying,Peñoles,arconsunmark,nan,2016-01-01,flat plate collector,Arcon-Sunmark,6270.0,,4400.0,,,,,,heat demand of copper mine,other process heating,different integration points (see remarks),,,1.0,1,,0.0,,,,,B - Mining and quarrying
169,La Trinidad,México,"Teocaltiche, Jalisco",C10.5 - Manufacture of dairy products,La Trinidad,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,226.78,120.0,59.9,water,Steam accumulation tank,4.8,Hot water boiler,Natural gas,boiler preheating,other process heating,A1) Heating of make-up water,90,20/90,48050.0,No Subsidies,,211.88,,,,,C10 - Manufacture of food products
170,Lackiercenter Schulte,Germany,"Lackiercenter Schulte, Schulze-Delitzsch-Straße, Meppen","C25 - Manufacture of fabricated metal products, except machinery and equipment",Lackiercenter Schulte,"narva, spower","narva, spower",,evacuated tube collector,,137.0,,95.9,water,,10.0,,,heating of painting and drying chamber,other process heating,B2) Heating of process medium (please specify),,,0.01,0.3,0,0.0,0.3,,Herbert Menhart,menhart@s-power.de,"C25 - Manufacture of fabricated metal products, except machinery and equipment"
171,Lackiererei Vogel,Germany,"Zwickau, Germany",C33 - Repair and installation of machinery and equipment,Lackiererei Vogel,nan,nan,2010-01-01,evacuated tube collector,,43.0,,30.1,,short-term water storage,3.0,,,heat cabins from 22 to 24 °c and generate hot air for drying process from 60 to 70 °c,drying,C) Other integration points (please specify),,,1.0,not known,,0.02,30,,Wolfgang Glatzl,w.glatzl@aee.at,C33 - Repair and installation of machinery and equipment
172,Lácteos Mojica,México,"Santa María del Valle, Jalisco, Mexico",C10.5 - Manufacture of dairy products,,inventive power sapi de cv,inventive power sapi de cv,2016-01-01,parabolic trough collector,Power Trough 110,132.0,132.0,59.88,Water,Short-term water storage,4.5,Hot water boiler,Other,boiler preheating,pasteurization,A2b) Heating of supply line,20/95,,36894.0,No Subsidies,,279.5,,,,,C10 - Manufacture of food products
173,Lacto Productos  El Indio,México,"San José de Gracia, Michoacán",C10.5 - Manufacture of dairy products,Lacto productos EL INDIO  SA de CV,inventive power sapi de cv,inventive power sapi de cv,2012-01-01,parabolic trough collector,Power Trough 110,132.0,132.0,74.0,Water,Short-term water storage,5000.0,Steam boiler,Fuel oil,process heat,Other process heating,A1) Heating of make-up water,,20/95,44200.0,0.5,>20,334.85,,,,,C10 - Manufacture of food products
174,Laguna,Germany,Marburg,S - Other services activities,Laguna,nan,nan,2010-01-01,flat plate collector,,57.0,,39.9,,,3.3,,,preheating water for the steam network used in the laundry shop,general process heating,C) Other integration points (please specify),"20 - 90 for pre-heating demineralised make-up water, 90 - 120 pre-heating feed water, 20 - 80 heating soft water for the washing machine",20 - 125,1.0,no subsidies,,0.02,,,IEA - Task 49,iesd@dmu.ac.uk,S - Other services activities
175,Laiterie Chagnon SHIP,Canada,"550 Rue Lewis O, Waterloo, QC J0E 2N0",C10.5 - Manufacture of dairy products,Laiterie Chagnon,rackam,rackam,2011-01-01,parabolic trough collector,S10 first generation,82.0,,46.0,thermo-oil,no solar energy storage,,Hot water boiler,Natural gas,"preheating, boiler",cleaning,A1) Heating of make-up water,80-90,,96000.0,0,,1170.73,,Rackam,joseanne.bg@rackam.com,rackam.com,C10 - Manufacture of food products
176,Lavin Industries,México,"9 Este 24, Civac, 62578 Jiutepec, MOR",C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,Lavin Industries,modulo solar,modulo solar,2012-01-01,flat plate collector,MS 2.5 BLUE,525.0,500.0,367.0,Water,Short-term water storage,20.0,Hot water boiler,Fuel oil,direct production of emulsions,general process heating,B1) Heating of process(es) / process vessel(s),60-75,60-90,130000.0,No Subsidies,,247.62,70,,,,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
177,Leitl Beton GmbH,Austria,Hörsching,C23 - Manufacture of other non-metallic mineral products,Leitl Beton GmbH,nan,nan,2010-01-01,flat plate collector,,315.0,,220.5,water/glycol,short-term water storage,36.0,hot water boiler,biomass,drying of prefabricated concrete components,drying,A3) Heating of supply heat storage,,,133875.0,58905,0,425.0,,,IEA - Task 49,oec@esv.or.at,C23 - Manufacture of other non-metallic mineral products
178,Leo Leather,India,"Jullundhar, Punjab",C15 - Manufacture of leather and related products,Leo leather,nan,nan,1998-01-01,flat plate collector,,300.0,,210.0,,Short-term water storage,15.0,,,"chemical mixing, drying (boiler feed)",Retanning,A1) Heating of make-up water,,,1.0,not known,0,0.0,,AEE INTEC,w.glatzl@aee.at,http://www.solarwaterheater.gov.in/phpdsurl5/speakers/userfiles/file/Solar%20water%20heater%20applications.pdf,C15 - Manufacture of leather and related products
179,Lesa Dairy,Switzerland,"Via Charels Suot, Bever",C10.5 - Manufacture of dairy products,"ewz, Elektrizitätswerk der Stadt Zürich",nep solar ag,"weisskopf partner gmbh, zürich",2011-01-01,parabolic trough collector,PolyTrough 1200B,115.0,115.0,67.0,Thermo-oil,No solar energy storage,0.01,Steam boiler,Fuel oil,milk processing,General process heating,A2b) Heating of supply line,,,252000.0,40% subsidies on investment,15,2191.3,0.05,"NEP Solar AG, ewz",stefan.minder@nep-solar.com,,C10 - Manufacture of food products
180,Lhasa vegetable greenhouse,China,Lhasa,C10 - Manufacture of food products,,nan,nan,,evacuated tube collector,,2150.0,,400.0,,,,,,vegetable greenhouse,heating of production halls,different integration points (see remarks),,,1.0,1,,0.0,,,Emilie Brunner,office@aee.at,C10 - Manufacture of food products
181,LINUO,China,"Jinan, Shandong Province,China",C - Manufacturing,LINUO,linuo paradigma,linuo paradigma,2011-01-01,evacuated tube collector,,1.0,5750.0,0.7,water,short-term water storage,60.0,,,steam boiler preheating,other process heating,C) Other integration points (please specify),90 flow temperature / 10-30 °C return flow temperatur,,1000000.0,no information available,0,1000000.0,,,Wolfgang Glatzl,d.seidler@ritter-xl-solar.com,C - Manufacturing
182,Liomont Laboratories,México,"Acueducto del Alto Lerma, Parque Industrial, Ocoyoacac, Estado de México",C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,Laboratorios Liomont SA de CV,modulo solar,modulo solar,2018-01-01,flat plate collector,MS 2.5 BLUE,75.0,68.0,52.5,Water/Glycol,Short-term water storage,4.0,Hot water boiler,Natural gas,preheat of hot water,General process heating,A1) Heating of make-up water,60-80,50-90,28000.0,No Subsidies,25,373.33,60,,,,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
183,L'oreal Mexico,México,"Prol. División del Nte. 5152, Amp San Marcos Nte, 16038 Ciudad de México, CDMX",C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,Loreal-Paris Mexico,modulo solar,modulo solar,2009-01-01,flat plate collector,HIPER TINOX,154.0,138.0,107.0,Water,Short-term water storage,8.0,Steam boiler,Fuel oil,preheat of hot water,general process heating,A1) Heating of make-up water,55-75,50-80,37000.0,No Subsidies,,240.26,70,,,,C21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations
184,L'Oreal Pune,India,"L'Oreal India Ltd., Pune, Maharashtra, Indien",C20 - Manufacture of chemicals and chemical products,L'Oreal,racold solar,racold solar,,flat plate collector,,640.0,,448.0,Water,Short-term water storage,32.0,Steam boiler,Fuel oil,hot water for cleaning processes,Cleaning,B1) Heating of process(es) / process vessel(s),55 °C,,115000.0,no information available,,179.69,,IEA Task 49,w.glatzl@aee.at,http://solarthermalworld.org/content/india-640-m2-collector-area-and-40000-litres-tanks-paid-back-4-years,C20 - Manufacture of chemicals and chemical products
185,Mahananda Dairy,India,Latur,C10.5 - Manufacture of dairy products,Mahananda Dairy,clique solar,clique solar,2006-01-01,various collector,Arun Dish,160.0,160.0,112.0,,,,,Fuel oil,pasteurization of milk,Other process heating,C) Other integration points,,120,43297.2,"24928,69",,270.61,,CSH India,contact@cshindia.in,http://www.cshindia.in/installedprojects.html,C10 - Manufacture of food products
186,Mahindra Vehicle Manufacturers,India,Chakan,"C29 - Manufacture of motor vehicles, trailers and semi-trailers",Mahindra Vehicle Manufacturers,clique solar,clique solar,2010-01-01,various collector,Arun Dish,180.0,168.0,125.0,,,,,Other,washing the engine components in automobile manufacturing unit,Other process heating,B2) Heating of process medium,,120°C,245350.82,No subsidy,,1363.06,,CSH India,contact@cshindia.in,http://www.cshindia.in/installedprojects.html,"C29 - Manufacture of motor vehicles, trailers and semi-trailers"
187,Malabar Tea Drying,Indonesia,Malabar,C10 - Manufacture of food products,Malabar Tea Drying,solarwall®,solarwall®,1994-01-01,air collector,,600.0,,420.0,,no solar energy storage,1.0,,,tea drying,drying,C) Other integration points (please specify),35,,1.0,no subsidies,0,0.0,,,,,C10 - Manufacture of food products
188,Mandrekas S.A.,Greece,Korinthos,C10.5 - Manufacture of dairy products,Mandrekas S.A.,thia sa,nan,1993-01-01,flat plate collector,,170.0,,119.0,water,short-term water storage,2.0,steam boiler,other,preservation of yoghurt maturing temperature,other process heating,A3) Heating of supply heat storage,40-45 °C for yoghurt maturing,,1.0,no subsidies,0,0.01,,,Wolfgang Glatzl,w.glatzl@aee.at,C10 - Manufacture of food products
